RQ1.1,RQ1.2,RQ1.3,RQ1.4,RQ1.5,RQ2.1,RQ2.2,RQ2.3,RQ2.4,RQ2.5,RQ3.1,RQ3.2,RQ3.3,RQ3.4,RQ3.5,RQ4.1,RQ4.2,RQ4.3,RQ4.4,RQ4.5,RQ5.1,RQ5.2,RQ5.3,RQ5.4,RQ5.5,RQ6.1,RQ6.2,RQ6.3,RQ6.4,RQ6.5,F11,F12,F13,F14,F15,F16,y11,Y1,y22,y33,y44,y55,y66,Y2,Y3,Y4,Y5,Y6,Improved
4,4,4,2,4,5,4,4,2,1,2,2,3,2,2,4,4,4,4,1,3,1,3,3,3,3,3,3,1,3,0.526468777,-0.374489874,-0.983820017,0.430509693,-0.851480676,-1.263550972,18,1,16,11,17,13,13,1,1,1,1,1,-0.535130448
4,4,4,4,2,4,4,4,2,2,2,4,2,4,4,4,4,2,4,2,4,4,4,2,2,4,4,4,4,4,0.410264401,-0.227402069,0.199964149,0.0085703,-0.008646507,0.348929811,18,1,16,16,16,16,20,1,1,1,1,1,0.137030107
1,4,5,4,3,4,3,4,3,4,4,3,5,4,5,4,3,5,3,5,4,5,3,4,4,4,4,3,5,5,0.370423581,0.194979863,1.084275437,0.594230934,0.867633029,0.485997376,17,1,18,21,20,20,21,1,1,1,1,1,1.011815859
4,4,2,4,3,3,3,2,3,3,2,3,4,3,3,3,4,4,2,5,3,3,4,4,4,4,4,5,3,2,0.211881627,-0.389734218,-0.086498519,0.151191889,0.303327373,0.06227515,17,1,14,15,18,18,18,1,1,1,1,1,0.029268258
4,4,3,2,2,4,4,3,4,4,3,4,4,3,4,3,4,4,3,4,4,4,4,2,3,3,2,3,4,2,-0.18642158,0.688337741,0.587732296,0.245715305,0.21169339,-1.019441493,15,1,19,18,18,17,14,1,1,1,1,1,0.330550197
4,4,2,4,2,4,4,2,2,4,2,2,2,4,2,2,2,2,4,4,4,4,2,4,2,4,4,4,2,2,-0.033597961,-0.198550643,-0.78886603,-0.922300934,-0.050825619,-0.422371737,16,1,16,12,14,16,16,1,1,1,1,1,-0.446545045
4,2,4,3,4,4,4,2,4,3,4,4,2,4,4,4,4,4,2,2,2,2,2,4,4,4,4,2,2,4,0.228488132,0.322436798,0.559595601,0.147587393,-0.646947609,-0.620363963,17,1,17,18,16,14,16,1,1,1,1,1,0.098986572
4,4,4,2,3,4,4,2,3,4,2,3,4,4,4,4,4,4,2,3,4,4,2,3,2,4,4,2,4,3,0.280989189,0.157024742,0.316906328,0.241462861,-0.245673108,-0.297823701,17,1,17,17,17,15,17,1,1,1,1,1,0.141208314
4,4,2,4,3,4,4,4,4,2,2,2,4,4,2,4,4,4,3,2,2,3,4,2,3,4,4,4,3,4,0.211881627,0.4837487,-0.381626811,0.335986277,-0.563266585,0.112866132,17,1,18,14,17,14,19,1,1,1,1,1,-0.041668886
4,4,2,3,3,2,2,2,4,2,4,4,4,2,4,4,4,2,4,2,4,4,2,2,2,4,4,4,2,4,0.024504227,-0.580917793,0.568261224,0.0085703,-0.440520597,-0.123197547,16,1,12,18,16,14,18,1,1,1,1,1,-0.235551561
4,2,3,3,4,2,4,3,2,3,2,3,4,3,4,4,4,3,4,3,4,4,3,3,3,2,2,3,4,2,0.006556951,-0.299127402,0.117619529,0.360353198,0.190603834,-1.211066473,16,1,14,16,18,17,13,1,1,1,1,1,-0.113669511
2,3,2,3,4,4,3,4,3,2,2,3,4,3,2,2,4,3,4,2,4,2,4,4,2,4,3,4,2,2,-0.310862933,-0.185346793,-0.290616568,-0.289566086,-0.142635147,-0.7368662,14,1,16,14,15,16,15,1,1,1,1,1,-0.38295502
4,4,4,2,4,1,4,4,4,2,2,4,4,2,2,3,4,4,4,3,4,4,4,4,4,1,2,2,2,2,0.526468777,0.354522131,-0.199606325,0.340238721,0.821728265,-2.123402018,18,1,15,14,18,20,9,1,1,1,1,1,-0.005004309
4,4,2,3,2,2,2,2,4,4,4,4,4,2,2,2,2,2,2,4,4,4,2,4,3,4,4,4,2,4,-0.220975361,-0.200591138,0.160025127,-1.299098702,0.169514278,-0.123197547,15,1,14,16,12,17,18,1,1,1,1,1,-0.299130796
2,1,3,4,2,5,3,4,2,3,4,3,4,2,3,3,4,2,4,3,4,4,2,4,3,2,3,4,3,4,-0.877871574,-0.307683326,0.073846134,-0.17557614,0.169514278,-0.58487829,12,1,17,16,16,17,16,1,1,1,1,1,-0.153513342
3,4,2,1,1,5,3,4,2,3,1,2,1,1,1,4,5,4,5,5,4,2,4,4,5,5,4,5,3,2,-1.010293612,-0.307683326,-1.974279808,1.275699625,0.518384544,0.253900129,11,1,17,6,23,19,19,1,1,1,1,1,-0.522308842
4,4,2,4,4,4,4,2,4,2,4,4,2,3,4,4,4,2,2,4,2,2,2,2,2,4,4,4,3,4,0.457361216,0.13227347,0.360308803,-0.180476532,-1.477322382,0.112866132,18,1,16,17,16,10,19,1,1,1,1,1,-0.157565806
4,4,4,2,4,4,4,2,4,4,4,3,4,2,4,4,4,2,4,3,4,4,2,3,4,2,2,2,4,4,0.526468777,0.512600126,0.277964183,0.102445768,0.195006686,-1.16047549,18,1,18,17,17,17,14,1,1,1,1,1,0.312887196
4,4,2,3,4,2,2,4,2,3,4,4,2,4,3,4,4,2,2,4,4,4,2,4,3,4,4,4,2,4,0.269983816,-0.750430004,0.355477553,-0.180476532,0.169514278,-0.123197547,17,1,13,17,16,17,18,1,1,1,1,1,-0.018442136
4,4,2,4,4,4,4,4,4,2,2,2,2,3,2,4,4,4,2,3,4,4,2,3,2,4,4,4,4,2,0.457361216,0.4837487,-0.988152828,0.241462861,-0.245673108,0.04975562,18,1,18,11,17,15,18,1,1,1,1,1,-0.181985767
2,2,2,4,4,2,4,4,2,4,4,4,2,2,4,4,4,4,2,4,4,4,2,2,2,2,2,2,4,4,-0.366164555,0.066773541,0.161022005,0.335338329,-0.440520597,-1.16047549,14,1,16,16,18,14,14,1,1,1,1,1,-0.247587397
4,4,2,4,4,4,4,2,2,4,4,4,2,4,2,4,2,2,4,3,4,4,2,4,4,4,4,2,4,2,0.457361216,-0.198550643,0.151359504,-0.460132586,0.389854175,-0.447410796,18,1,16,16,15,18,16,1,1,1,1,1,0.12840991
4,4,2,4,4,4,4,2,4,3,2,2,2,4,4,2,2,2,4,2,4,4,4,4,3,4,4,4,2,2,0.457361216,0.322436798,-0.380629933,-1.11005187,0.601388368,-0.422371737,18,1,17,14,12,19,16,1,1,1,1,1,-0.02224943
4,4,3,4,4,3,4,3,1,3,3,4,4,3,2,3,4,4,3,2,3,4,4,3,4,3,2,4,4,3,0.679292396,-0.611627263,0.179496199,0.057964369,0.370321693,-0.62127119,19,1,14,16,16,18,16,1,1,1,1,1,0.09358977
4,4,4,2,4,5,4,4,2,1,2,2,3,2,2,4,4,4,4,2,3,1,3,3,3,3,2,3,1,3,0.526468777,-0.374489874,-0.983820017,0.524385161,-0.851480676,-1.578045434,18,1,16,11,18,13,12,1,1,1,1,1,-0.516897876
4,4,4,2,4,5,4,4,2,1,2,2,3,2,2,4,4,4,4,2,3,1,3,3,3,3,3,3,1,3,0.526468777,-0.374489874,-0.983820017,0.524385161,-0.851480676,-1.263550972,18,1,16,11,18,13,13,1,1,1,1,1,-0.495456501
4,4,4,2,4,4,4,4,1,1,2,2,2,2,2,4,4,4,4,2,3,1,3,3,3,3,3,3,1,3,0.526468777,-0.773140781,-1.187439626,0.524385161,-0.851480676,-1.263550972,18,1,14,10,18,13,13,1,1,1,1,1,-0.701878266
4,4,4,2,4,4,4,4,2,2,2,2,2,2,2,4,4,4,4,2,4,2,4,4,4,4,4,4,2,4,0.526468777,-0.227402069,-1.187439626,0.524385161,0.298044647,-0.123197547,18,1,16,10,18,18,18,1,1,1,1,1,-0.173504714
2,4,2,4,4,4,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.11919349,-0.82559086,0.96683482,0.712136097,0.821728265,0.348929811,16,1,14,20,20,20,20,1,1,1,1,1,0.600209682
